Time,MotorVoltage,SupplyVoltage,
2695.6975,-0.12,12.325,
2695.7012,-0.12,12.325,
2695.7055,-0.12,12.325,
2695.71,-0.12,12.325,
2695.7134,-0.12,12.325,
2695.7174,-0.12,12.325,
2695.722,-0.12,12.325,
2695.7255,-0.12,12.325,
2695.7299,-0.12,12.325,
2695.7334,-0.12,12.325,
2695.7374,-0.12,12.325,
2695.7416,-0.12,12.325,
2695.7416,-0.12,12.325,
2695.7454,-0.12,12.325,
2695.75,-0.12,12.325,
2695.7534,-0.12,12.325,
2695.7575,-0.12,12.325,
2695.7614,-0.12,12.325,
2695.7655,-0.12,12.325,
2695.77,-0.12,12.325,
2695.7734,-0.12,12.325,
2695.7774,-0.12,12.325,
2695.7813,-0.12,12.325,
2695.7859,-0.12,12.325,
2695.7895,-0.12,12.325,
2695.7931,-0.12,12.325,
2695.7975,-0.12,12.325,
2695.8012,-0.12,12.325,
2695.8055,-0.12,12.325,
2695.8094,-0.12,12.325,
2695.8135,-0.12,12.325,
2695.8135,-0.12,12.325,
2695.8174,-0.12,12.325,
2695.8213,-0.12,12.325,
2695.8254,-0.12,12.325,
2695.8292,-0.12,12.325,
2695.8332,-0.12,12.325,
2695.8371,-0.12,12.325,
2695.8414,-0.12,12.325,
2695.8454,-0.12,12.325,
2695.8494,-0.12,12.325,
2695.8535,-0.12,12.325,
2695.8574,-0.12,12.325,
